number,name,url,types,height_cm,weight_kg,next_evolutions,abilities
11,Metapod,https://pokemondb.net/pokedex/metapod,Bug,70.0 cm,9.9 kg,##0012 - Butterfree - https://pokemondb.net/pokedex/butterfree,"[{'name': 'Shed Skin', 'desc': 'Heals the body by shedding.', 'effect': 'The Pokémon may heal its own status problems.\n', 'url': 'https://pokemondb.net/ability/shed-skin'}]"
12,Butterfree,https://pokemondb.net/pokedex/butterfree,"Bug, Flying",110.0 cm,32.0 kg,,"[{'name': 'Compound Eyes', 'desc': 'Raises accuracy.', 'effect': ""Compound Eyes raises the ability-bearer's accuracy by 30%."", 'url': 'https://pokemondb.net/ability/compound-eyes'}, {'name': 'Tinted Lens', 'desc': 'Powers up “not very effective” moves.', 'effect': 'Powers up “not very effective” moves.\n', 'url': 'https://pokemondb.net/ability/tinted-lens'}]"
13,Weedle,https://pokemondb.net/pokedex/weedle,"Bug, Poison",30.0 cm,3.2 kg,##0014 - Kakuna - https://pokemondb.net/pokedex/kakuna; ##0015 - Beedrill - https://pokemondb.net/pokedex/beedrill,"[{'name': 'Shield Dust', 'desc': 'Prevents added effects.', 'effect': 'Blocks the added effects of attacks taken.\n', 'url': 'https://pokemondb.net/ability/shield-dust'}, {'name': 'Run Away', 'desc': 'Makes escaping easier.', 'effect': 'Run Away allows the bearer to flee a battle with a wild Pokémon without fail, even if the opposing Pokémon has used a move like Mean Look or Bind, or has an ability such as Arena Trap.', 'url': 'https://pokemondb.net/ability/run-away'}]"
14,Kakuna,https://pokemondb.net/pokedex/kakuna,"Bug, Poison",60.0 cm,10.0 kg,##0015 - Beedrill - https://pokemondb.net/pokedex/beedrill,"[{'name': 'Shed Skin', 'desc': 'Heals the body by shedding.', 'effect': 'The Pokémon may heal its own status problems.\n', 'url': 'https://pokemondb.net/ability/shed-skin'}]"
15,Beedrill,https://pokemondb.net/pokedex/beedrill,"Bug, Poison",100.0 cm,29.5 kg,,"[{'name': 'Swarm', 'desc': 'Ups BUG moves in a pinch.', 'effect': ""Swarm increases the power of Bug-type moves by 50% (1.5×) when the ability-bearer's HP falls below a third of its maximum (known in-game as in a pinch)."", 'url': 'https://pokemondb.net/ability/swarm'}, {'name': 'Sniper', 'desc': 'Powers up moves if they become critical hits.', 'effect': 'Sniper increases the power of critical hits by 1.5×. This means a critical hit will deal 2.25× normal damage instead of 1.5×.', 'url': 'https://pokemondb.net/ability/sniper'}, {'name': 'Adaptability', 'desc': 'Powers up moves of the same type.', 'effect': 'Adaptability increases the effectiveness of STAB moves from the usual 1.5× to 2×.', 'url': 'https://pokemondb.net/ability/adaptability'}]"
16,Pidgey,https://pokemondb.net/pokedex/pidgey,"Normal, Flying",30.0 cm,1.8 kg,##0017 - Pidgeotto - https://pokemondb.net/pokedex/pidgeotto; ##0018 - Pidgeot - https://pokemondb.net/pokedex/pidgeot,"[{'name': 'Keen Eye', 'desc': 'Prevents loss of accuracy.', 'effect': 'Keen Eye prevents the Pokémon from losing accuracy, for example from moves like Sand-Attack.', 'url': 'https://pokemondb.net/ability/keen-eye'}, {'name': 'Tangled Feet', 'desc': 'Raises evasion if the Pokémon is confused.', 'effect': 'Raises evasion if the Pokémon is confused.\n', 'url': 'https://pokemondb.net/ability/tangled-feet'}, {'name': 'Big Pecks', 'desc': 'Protects the Pokémon from Defense-lowering attacks.', 'effect': ""Big Pecks prevents the ability-bearer's Defense stat from being lowered, for example via Tail Whip."", 'url': 'https://pokemondb.net/ability/big-pecks'}]"
17,Pidgeotto,https://pokemondb.net/pokedex/pidgeotto,"Normal, Flying",110.0 cm,30.0 kg,##0018 - Pidgeot - https://pokemondb.net/pokedex/pidgeot,"[{'name': 'Keen Eye', 'desc': 'Prevents loss of accuracy.', 'effect': 'Keen Eye prevents the Pokémon from losing accuracy, for example from moves like Sand-Attack.', 'url': 'https://pokemondb.net/ability/keen-eye'}, {'name': 'Tangled Feet', 'desc': 'Raises evasion if the Pokémon is confused.', 'effect': 'Raises evasion if the Pokémon is confused.\n', 'url': 'https://pokemondb.net/ability/tangled-feet'}, {'name': 'Big Pecks', 'desc': 'Protects the Pokémon from Defense-lowering attacks.', 'effect': ""Big Pecks prevents the ability-bearer's Defense stat from being lowered, for example via Tail Whip."", 'url': 'https://pokemondb.net/ability/big-pecks'}]"
18,Pidgeot,https://pokemondb.net/pokedex/pidgeot,"Normal, Flying",150.0 cm,39.5 kg,,"[{'name': 'Keen Eye', 'desc': 'Prevents loss of accuracy.', 'effect': 'Keen Eye prevents the Pokémon from losing accuracy, for example from moves like Sand-Attack.', 'url': 'https://pokemondb.net/ability/keen-eye'}, {'name': 'Tangled Feet', 'desc': 'Raises evasion if the Pokémon is confused.', 'effect': 'Raises evasion if the Pokémon is confused.\n', 'url': 'https://pokemondb.net/ability/tangled-feet'}, {'name': 'Big Pecks', 'desc': 'Protects the Pokémon from Defense-lowering attacks.', 'effect': ""Big Pecks prevents the ability-bearer's Defense stat from being lowered, for example via Tail Whip."", 'url': 'https://pokemondb.net/ability/big-pecks'}, {'name': 'No Guard', 'desc': 'Ensures the Pokémon and its foe’s attacks land.', 'effect': 'No Guard ensures that all attacks used by, and targeted at, the ability-bearer hit without fail.', 'url': 'https://pokemondb.net/ability/no-guard'}]"
19,Rattata,https://pokemondb.net/pokedex/rattata,Normal,30.0 cm,3.5 kg,##0020 - Raticate - https://pokemondb.net/pokedex/raticate; ##0020 - Raticate - https://pokemondb.net/pokedex/raticate,"[{'name': 'Run Away', 'desc': 'Makes escaping easier.', 'effect': 'Run Away allows the bearer to flee a battle with a wild Pokémon without fail, even if the opposing Pokémon has used a move like Mean Look or Bind, or has an ability such as Arena Trap.', 'url': 'https://pokemondb.net/ability/run-away'}, {'name': 'Guts', 'desc': 'Ups ATTACK if suffering.', 'effect': ""Guts raises the ability-bearer's Attack by 50% when inflicted by a major status ailment (poison, burn, paralysis, freeze or sleep). If burnt, the Pokémon does not suffer the usual drop in Attack."", 'url': 'https://pokemondb.net/ability/guts'}, {'name': 'Hustle', 'desc': 'Trades accuracy for power.', 'effect': ""Hustle increases the ability-bearer's Attack by 50%, however, it also reduces the Accuracy of all Physical moves by 20%."", 'url': 'https://pokemondb.net/ability/hustle'}, {'name': 'Gluttony', 'desc': 'Encourages the early use of a held Berry.', 'effect': 'A Pokémon with Gluttony will use a pinch berry when its HP drops to 50%, rather than the usual 25%.', 'url': 'https://pokemondb.net/ability/gluttony'}, {'name': 'Thick Fat', 'desc': 'Heat-and-cold protection.', 'effect': 'Thick Fat reduces the damage taken from Fire-type and Ice-type moves by 50%.', 'url': 'https://pokemondb.net/ability/thick-fat'}]"
20,Raticate,https://pokemondb.net/pokedex/raticate,Normal,70.0 cm,18.5 kg,##0019 - Rattata - https://pokemondb.net/pokedex/rattata,"[{'name': 'Run Away', 'desc': 'Makes escaping easier.', 'effect': 'Run Away allows the bearer to flee a battle with a wild Pokémon without fail, even if the opposing Pokémon has used a move like Mean Look or Bind, or has an ability such as Arena Trap.', 'url': 'https://pokemondb.net/ability/run-away'}, {'name': 'Guts', 'desc': 'Ups ATTACK if suffering.', 'effect': ""Guts raises the ability-bearer's Attack by 50% when inflicted by a major status ailment (poison, burn, paralysis, freeze or sleep). If burnt, the Pokémon does not suffer the usual drop in Attack."", 'url': 'https://pokemondb.net/ability/guts'}, {'name': 'Hustle', 'desc': 'Trades accuracy for power.', 'effect': ""Hustle increases the ability-bearer's Attack by 50%, however, it also reduces the Accuracy of all Physical moves by 20%."", 'url': 'https://pokemondb.net/ability/hustle'}, {'name': 'Gluttony', 'desc': 'Encourages the early use of a held Berry.', 'effect': 'A Pokémon with Gluttony will use a pinch berry when its HP drops to 50%, rather than the usual 25%.', 'url': 'https://pokemondb.net/ability/gluttony'}, {'name': 'Thick Fat', 'desc': 'Heat-and-cold protection.', 'effect': 'Thick Fat reduces the damage taken from Fire-type and Ice-type moves by 50%.', 'url': 'https://pokemondb.net/ability/thick-fat'}]"
21,Spearow,https://pokemondb.net/pokedex/spearow,"Normal, Flying",30.0 cm,2.0 kg,##0022 - Fearow - https://pokemondb.net/pokedex/fearow,"[{'name': 'Keen Eye', 'desc': 'Prevents loss of accuracy.', 'effect': 'Keen Eye prevents the Pokémon from losing accuracy, for example from moves like Sand-Attack.', 'url': 'https://pokemondb.net/ability/keen-eye'}, {'name': 'Sniper', 'desc': 'Powers up moves if they become critical hits.', 'effect': 'Sniper increases the power of critical hits by 1.5×. This means a critical hit will deal 2.25× normal damage instead of 1.5×.', 'url': 'https://pokemondb.net/ability/sniper'}]"
22,Fearow,https://pokemondb.net/pokedex/fearow,"Normal, Flying",120.0 cm,38.0 kg,,"[{'name': 'Keen Eye', 'desc': 'Prevents loss of accuracy.', 'effect': 'Keen Eye prevents the Pokémon from losing accuracy, for example from moves like Sand-Attack.', 'url': 'https://pokemondb.net/ability/keen-eye'}, {'name': 'Sniper', 'desc': 'Powers up moves if they become critical hits.', 'effect': 'Sniper increases the power of critical hits by 1.5×. This means a critical hit will deal 2.25× normal damage instead of 1.5×.', 'url': 'https://pokemondb.net/ability/sniper'}]"
23,Ekans,https://pokemondb.net/pokedex/ekans,Poison,200.0 cm,6.9 kg,##0024 - Arbok - https://pokemondb.net/pokedex/arbok,"[{'name': 'Intimidate', 'desc': 'Lowers the foe’s ATTACK.', 'effect': ""Intimidate lower's the Attack of all opponents by one stage when the ability-bearer switches in (including the start of a battle)."", 'url': 'https://pokemondb.net/ability/intimidate'}, {'name': 'Shed Skin', 'desc': 'Heals the body by shedding.', 'effect': 'The Pokémon may heal its own status problems.\n', 'url': 'https://pokemondb.net/ability/shed-skin'}, {'name': 'Unnerve', 'desc': 'Makes the foe nervous and unable to eat Berries.', 'effect': 'Makes the foe nervous and unable to eat Berries.\n', 'url': 'https://pokemondb.net/ability/unnerve'}]"
24,Arbok,https://pokemondb.net/pokedex/arbok,Poison,350.0 cm,65.0 kg,,"[{'name': 'Intimidate', 'desc': 'Lowers the foe’s ATTACK.', 'effect': ""Intimidate lower's the Attack of all opponents by one stage when the ability-bearer switches in (including the start of a battle)."", 'url': 'https://pokemondb.net/ability/intimidate'}, {'name': 'Shed Skin', 'desc': 'Heals the body by shedding.', 'effect': 'The Pokémon may heal its own status problems.\n', 'url': 'https://pokemondb.net/ability/shed-skin'}, {'name': 'Unnerve', 'desc': 'Makes the foe nervous and unable to eat Berries.', 'effect': 'Makes the foe nervous and unable to eat Berries.\n', 'url': 'https://pokemondb.net/ability/unnerve'}]"
25,Pikachu,https://pokemondb.net/pokedex/pikachu,Electric,40.0 cm,6.0 kg,##0026 - Raichu - https://pokemondb.net/pokedex/raichu; ##0026 - Raichu - https://pokemondb.net/pokedex/raichu,"[{'name': 'Static', 'desc': 'Paralyzes on contact.', 'effect': 'If a Pokémon with Static is hit by a move making contact, there is a 30% chance the foe will become paralyzed.', 'url': 'https://pokemondb.net/ability/static'}, {'name': 'Lightning Rod', 'desc': 'Draws electrical moves.', 'effect': 'Lightning Rod forces all single-target Electric-type moves - used by any other Pokémon on the field - to target this Pokémon, and with 100% accuracy. This includes the status move Thunder Wave. The ability is most useful in double/triple battles.', 'url': 'https://pokemondb.net/ability/lightning-rod'}]"
26,Raichu,https://pokemondb.net/pokedex/raichu,Electric,80.0 cm,30.0 kg,,"[{'name': 'Static', 'desc': 'Paralyzes on contact.', 'effect': 'If a Pokémon with Static is hit by a move making contact, there is a 30% chance the foe will become paralyzed.', 'url': 'https://pokemondb.net/ability/static'}, {'name': 'Lightning Rod', 'desc': 'Draws electrical moves.', 'effect': 'Lightning Rod forces all single-target Electric-type moves - used by any other Pokémon on the field - to target this Pokémon, and with 100% accuracy. This includes the status move Thunder Wave. The ability is most useful in double/triple battles.', 'url': 'https://pokemondb.net/ability/lightning-rod'}, {'name': 'Surge Surfer', 'desc': 'Doubles the Pokémon’s Speed stat on Electric Terrain.', 'effect': ""Surge Surfer doubles the bearer's Speed when Electric Terrain is active."", 'url': 'https://pokemondb.net/ability/surge-surfer'}]"
27,Sandshrew,https://pokemondb.net/pokedex/sandshrew,Ground,60.0 cm,12.0 kg,##0028 - Sandslash - https://pokemondb.net/pokedex/sandslash; ##0028 - Sandslash - https://pokemondb.net/pokedex/sandslash,"[{'name': 'Sand Veil', 'desc': 'Ups evasion in a sandstorm.', 'effect': ""Sand Veil raises the ability-bearer's evasion by 20% in a sandstorm. It also gives immunity to sandstorm damage (if they are not already protected by being Ground/Rock/Steel type)."", 'url': 'https://pokemondb.net/ability/sand-veil'}, {'name': 'Sand Rush', 'desc': 'Boosts the Pokémon’s Speed in a sandstorm.', 'effect': ""Sand Rush doubles the ability-bearer's Speed during a sandstorm."", 'url': 'https://pokemondb.net/ability/sand-rush'}, {'name': 'Snow Cloak', 'desc': 'Raises evasion in a hailstorm.', 'effect': ""Snow Cloak raises ability-bearer's evasion by 20% in a hail storm. It also gives immunity to damage by hail (if they are not already protected by being Ice type)."", 'url': 'https://pokemondb.net/ability/snow-cloak'}, {'name': 'Slush Rush', 'desc': 'Boosts the Pokémon’s Speed stat in a hailstorm.', 'effect': ""Boosts the Pokémon's Speed stat in a hailstorm.\n"", 'url': 'https://pokemondb.net/ability/slush-rush'}]"
28,Sandslash,https://pokemondb.net/pokedex/sandslash,Ground,100.0 cm,29.5 kg,##0027 - Sandshrew - https://pokemondb.net/pokedex/sandshrew,"[{'name': 'Sand Veil', 'desc': 'Ups evasion in a sandstorm.', 'effect': ""Sand Veil raises the ability-bearer's evasion by 20% in a sandstorm. It also gives immunity to sandstorm damage (if they are not already protected by being Ground/Rock/Steel type)."", 'url': 'https://pokemondb.net/ability/sand-veil'}, {'name': 'Sand Rush', 'desc': 'Boosts the Pokémon’s Speed in a sandstorm.', 'effect': ""Sand Rush doubles the ability-bearer's Speed during a sandstorm."", 'url': 'https://pokemondb.net/ability/sand-rush'}, {'name': 'Snow Cloak', 'desc': 'Raises evasion in a hailstorm.', 'effect': ""Snow Cloak raises ability-bearer's evasion by 20% in a hail storm. It also gives immunity to damage by hail (if they are not already protected by being Ice type)."", 'url': 'https://pokemondb.net/ability/snow-cloak'}, {'name': 'Slush Rush', 'desc': 'Boosts the Pokémon’s Speed stat in a hailstorm.', 'effect': ""Boosts the Pokémon's Speed stat in a hailstorm.\n"", 'url': 'https://pokemondb.net/ability/slush-rush'}]"
29,Nidoran♀,https://pokemondb.net/pokedex/nidoran-f,Poison,40.0 cm,7.0 kg,##0030 - Nidorina - https://pokemondb.net/pokedex/nidorina; ##0031 - Nidoqueen - https://pokemondb.net/pokedex/nidoqueen,"[{'name': 'Poison Point', 'desc': 'Poisons foe on contact.', 'effect': 'Contact with the Pokémon may poison the attacker.\n', 'url': 'https://pokemondb.net/ability/poison-point'}, {'name': 'Rivalry', 'desc': 'Raises Attack if the foe is of the same gender.', 'effect': 'Deals more damage to a Pokémon of same gender.\n', 'url': 'https://pokemondb.net/ability/rivalry'}, {'name': 'Hustle', 'desc': 'Trades accuracy for power.', 'effect': ""Hustle increases the ability-bearer's Attack by 50%, however, it also reduces the Accuracy of all Physical moves by 20%."", 'url': 'https://pokemondb.net/ability/hustle'}]"
30,Nidorina,https://pokemondb.net/pokedex/nidorina,Poison,80.0 cm,20.0 kg,##0031 - Nidoqueen - https://pokemondb.net/pokedex/nidoqueen,"[{'name': 'Poison Point', 'desc': 'Poisons foe on contact.', 'effect': 'Contact with the Pokémon may poison the attacker.\n', 'url': 'https://pokemondb.net/ability/poison-point'}, {'name': 'Rivalry', 'desc': 'Raises Attack if the foe is of the same gender.', 'effect': 'Deals more damage to a Pokémon of same gender.\n', 'url': 'https://pokemondb.net/ability/rivalry'}, {'name': 'Hustle', 'desc': 'Trades accuracy for power.', 'effect': ""Hustle increases the ability-bearer's Attack by 50%, however, it also reduces the Accuracy of all Physical moves by 20%."", 'url': 'https://pokemondb.net/ability/hustle'}]"
31,Nidoqueen,https://pokemondb.net/pokedex/nidoqueen,"Poison, Ground",130.0 cm,60.0 kg,,"[{'name': 'Poison Point', 'desc': 'Poisons foe on contact.', 'effect': 'Contact with the Pokémon may poison the attacker.\n', 'url': 'https://pokemondb.net/ability/poison-point'}, {'name': 'Rivalry', 'desc': 'Raises Attack if the foe is of the same gender.', 'effect': 'Deals more damage to a Pokémon of same gender.\n', 'url': 'https://pokemondb.net/ability/rivalry'}, {'name': 'Sheer Force', 'desc': 'Removes added effects to increase move damage.', 'effect': 'Sheer Force increases the power of moves that have beneficial secondary effects by 30%, but removes those additional effects.', 'url': 'https://pokemondb.net/ability/sheer-force'}]"
32,Nidoran♂,https://pokemondb.net/pokedex/nidoran-m,Poison,50.0 cm,9.0 kg,##0033 - Nidorino - https://pokemondb.net/pokedex/nidorino; ##0034 - Nidoking - https://pokemondb.net/pokedex/nidoking,"[{'name': 'Poison Point', 'desc': 'Poisons foe on contact.', 'effect': 'Contact with the Pokémon may poison the attacker.\n', 'url': 'https://pokemondb.net/ability/poison-point'}, {'name': 'Rivalry', 'desc': 'Raises Attack if the foe is of the same gender.', 'effect': 'Deals more damage to a Pokémon of same gender.\n', 'url': 'https://pokemondb.net/ability/rivalry'}, {'name': 'Hustle', 'desc': 'Trades accuracy for power.', 'effect': ""Hustle increases the ability-bearer's Attack by 50%, however, it also reduces the Accuracy of all Physical moves by 20%."", 'url': 'https://pokemondb.net/ability/hustle'}]"
33,Nidorino,https://pokemondb.net/pokedex/nidorino,Poison,90.0 cm,19.5 kg,##0034 - Nidoking - https://pokemondb.net/pokedex/nidoking,"[{'name': 'Poison Point', 'desc': 'Poisons foe on contact.', 'effect': 'Contact with the Pokémon may poison the attacker.\n', 'url': 'https://pokemondb.net/ability/poison-point'}, {'name': 'Rivalry', 'desc': 'Raises Attack if the foe is of the same gender.', 'effect': 'Deals more damage to a Pokémon of same gender.\n', 'url': 'https://pokemondb.net/ability/rivalry'}, {'name': 'Hustle', 'desc': 'Trades accuracy for power.', 'effect': ""Hustle increases the ability-bearer's Attack by 50%, however, it also reduces the Accuracy of all Physical moves by 20%."", 'url': 'https://pokemondb.net/ability/hustle'}]"
34,Nidoking,https://pokemondb.net/pokedex/nidoking,"Poison, Ground",140.0 cm,62.0 kg,,"[{'name': 'Poison Point', 'desc': 'Poisons foe on contact.', 'effect': 'Contact with the Pokémon may poison the attacker.\n', 'url': 'https://pokemondb.net/ability/poison-point'}, {'name': 'Rivalry', 'desc': 'Raises Attack if the foe is of the same gender.', 'effect': 'Deals more damage to a Pokémon of same gender.\n', 'url': 'https://pokemondb.net/ability/rivalry'}, {'name': 'Sheer Force', 'desc': 'Removes added effects to increase move damage.', 'effect': 'Sheer Force increases the power of moves that have beneficial secondary effects by 30%, but removes those additional effects.', 'url': 'https://pokemondb.net/ability/sheer-force'}]"
35,Clefairy,https://pokemondb.net/pokedex/clefairy,Fairy,60.0 cm,7.5 kg,##0036 - Clefable - https://pokemondb.net/pokedex/clefable,"[{'name': 'Cute Charm', 'desc': 'Infatuates on contact.', 'effect': 'If a Pokémon with Cute Charm is hit by a move that makes contact, there is a 30% chance the attacker will become infatuated. It will not infatuate Pokémon of the same gender, genderless Pokémon, nor those with the ability Oblivious.', 'url': 'https://pokemondb.net/ability/cute-charm'}, {'name': 'Magic Guard', 'desc': 'The Pokémon only takes damage from attacks.', 'effect': 'Magic Guard protects the Pokémon from indirect damage, including:', 'url': 'https://pokemondb.net/ability/magic-guard'}, {'name': 'Friend Guard', 'desc': 'Reduces damage done to allies.', 'effect': 'Reduces damage done to allies.\n', 'url': 'https://pokemondb.net/ability/friend-guard'}]"
36,Clefable,https://pokemondb.net/pokedex/clefable,Fairy,130.0 cm,40.0 kg,,"[{'name': 'Cute Charm', 'desc': 'Infatuates on contact.', 'effect': 'If a Pokémon with Cute Charm is hit by a move that makes contact, there is a 30% chance the attacker will become infatuated. It will not infatuate Pokémon of the same gender, genderless Pokémon, nor those with the ability Oblivious.', 'url': 'https://pokemondb.net/ability/cute-charm'}, {'name': 'Magic Guard', 'desc': 'The Pokémon only takes damage from attacks.', 'effect': 'Magic Guard protects the Pokémon from indirect damage, including:', 'url': 'https://pokemondb.net/ability/magic-guard'}, {'name': 'Unaware', 'desc': 'Ignores any change in ability by the foe.', 'effect': 'Ignores any stat changes in the Pokémon.\n', 'url': 'https://pokemondb.net/ability/unaware'}]"
